Institution,Longitude,Latitude
Berkeley City College,-122.26987700000001,37.869769
West Valley Mission Community College District Office,-122.008324,37.26398
Walden University,-93.265738,44.98125
Waynes College of Beauty,-121.652672,36.700635
West Hills College-Coalinga,-120.356747,36.147890999999994
West Los Angeles College,-118.387578,34.005578
West Valley College,-122.008324,37.26398
Carrington College-Sacramento,-121.37133100000001,38.556151
Westminster Theological Seminary in California,-117.046371,33.121446999999996
Westmont College,-119.662517,34.450151
Whittier College,-118.028402,33.977625
Woodbury University,-118.34114699999999,34.208011
The Wright Institute,-122.25316799999999,37.868221000000005
Western State College of Law at Argosy University,-117.760902,33.658464
Thomas Jefferson School of Law,-117.154191,32.71014
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,-118.34668799999999,34.085494
Yosemite Community College District Office,-121.040246,37.66107
Yuba College,-121.53963999999999,39.126536
The Salon Professional Academy-Grand Junction,-108.56521000000001,39.078114
Adams State University,-105.87964199999999,37.473636
Aims Community College,-104.76341500000001,40.409559
Arapahoe Community College,-105.018631,39.607504999999996
Bel-Rea Institute of Animal Technology,-104.87620700000001,39.686194
Altierus Career College-Colorado Springs,-104.740267,38.807095000000004
University of Colorado Denver/Anschutz Medical Campus,-104.837722,39.745149
University of Colorado Colorado Springs,-104.800296,38.892734999999995
Spartan College of Aeronautics and Technology,-105.119096,39.914821999999994
University of Colorado Boulder,-105.270823,40.008781
Colorado Christian University,-105.09456000000002,39.713879999999996
Colorado College,-104.82269699999999,38.848859999999995
Concorde Career College-Aurora,-104.86708899999999,39.718699
The Art Institute of Colorado,-104.98584699999999,39.735587
Colorado Mountain College,-107.324441,39.54636
Colorado Northwestern Community College,-108.790048,40.081112
Colorado School of Mines,-105.22336399999999,39.751443
Colorado School of Trades,-105.104174,39.74181
Colorado State University-Fort Collins,-105.08073200000001,40.574805
Colorado Technical University-Colorado Springs,-104.833928,38.894265000000004
Community College of Aurora,-104.802673,39.71788
CollegeAmerica-Denver,-104.94116799999999,39.691571
Delta Montrose Technical College,-108.031072,38.702524
Community College of Denver,-105.001044,39.741413
Lincoln College of Technology-Denver,-104.856171,39.776509999999995
Denver Seminary,-105.02236299999998,39.600595
University of Denver,-104.96325900000001,39.678005
Emily Griffith Technical College,-104.98575100000001,39.74575
Fort Lewis College,-107.86742199999999,37.275939
Front Range Community College,-105.038068,39.901452
Glenwood Beauty Academy,-107.358744,39.562138
Hair Dynamics Education Center,-105.076628,40.496727
Iliff School of Theology,-104.96065700000001,39.675927
International Salon and Spa Academy,-104.786252,38.913621
Lamar Community College,-102.61614399999999,38.068886
